id,name_bg,name_en,category,era_bg,date_context_bg,date_context_en,date_precision,creator_context_bg,creator_context_en,creator_status,lat,lng,event_ids,person_ids,organization_ids,archive_item_ids,then_now_pair_ids,source_ids,editorial_status
place-holy-mother-of-god,Църква „Успение Богородично“,Church of the Holy Mother of God,revival,"Възраждане, XIX в.","Възраждане, XIX в.","National Revival, 19th c.",era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14781111,24.75064167,,,,,,source-wikipedia-church-of-the-holy-mother-of-god-plovdiv|source-wikidata-church-of-the-holy-mother-of-god-q966311|source-wikimedia-commons-file-st-bogoroditza-plovdiv-jpg,needs_editorial_signoff
place-st-george-armenian-church,Арменска църква „Свети Георги“,Saint George Armenian Church,revival,Възраждане – нова история,Възраждане – нова история,National Revival – modern era,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.15074,24.751596,,,,,,source-wikidata-saint-george-church-q55399583|source-wikimedia-commons-file-st-george-armenian-church-jpg,needs_editorial_signoff
place-lamartine-house,Ламартинова къща,Lamartine House,revival,"Възраждане, XIX в.","Възраждане, XIX в.","National Revival, 19th c.",era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.147322,24.752566,,,,archive-photo-lamartine-house-restoration-1972,then-now-lamartine-house-restoration-1972,source-wikidata-lamartine-house-q12284656|source-wikimedia-commons-file-old-town3-jpg,needs_editorial_signoff
place-stoyan-chomakov-house,Къща на Стоян Чомаков,Stoyan Chomakov House,revival,"Възраждане, XIX в.","Възраждане, XIX в.","National Revival, 19th c.",era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14972,24.75278,,,,,,source-wikidata-stoyan-chomakov-house-q38654916|source-wikimedia-commons-file-portra-artgallery001-jpg,needs_editorial_signoff
place-hadzhi-dragan-kaloferetsa-house,Къща на хаджи Драган Калофереца,Hadzhi Dragan Kaloferetsa House,revival,"Възраждане, XIX в.","Възраждане, XIX в.","National Revival, 19th c.",era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.148611111,24.754166666,,,,,,source-wikidata-hadzhi-dragan-kaloferetsa-house-q108602080|source-wikimedia-commons-hadzhidragankaloferetsahouse-plovdiv001-jpg,needs_editorial_signoff
place-mevlevi-hane,Мевлеви хане,Mevlevi Hane,ottoman,Османски период,Османски период,Ottoman period,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.148373,24.75281,,,,,,source-wikidata-dervish-monastery-plovdiv-q37813757|source-wikimedia-commons-file-portra-mevlevihane004-jpg,needs_editorial_signoff
place-chalakova-house,Чалъкова къща,Chalakov House,revival,"Възраждане, XIX в.","Възраждане, XIX в.","National Revival, 19th c.",era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.147472222,24.749944444,,,,,,source-wikidata-chalakov-house-q37814053|source-wikimedia-commons-file-pli-chalakovakashta002-jpg,needs_editorial_signoff
place-chifte-hamam,Чифте хамам,Chifte Hamam,ottoman,Османски период,Османски период,Ottoman period,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.152014,24.749799,,,,,,source-wikidata-chifte-hamam-q60169037|source-wikimedia-commons-file-turkish-ancient-baths-plovdiv-jpg,needs_editorial_signoff
place-geo-milev-school,Основно училище „Гео Милев“,Geo Milev Primary School,civic,Нова история,Нова история,Modern era,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.146641,24.75377,,,,archive-postcard-greek-high-school,then-now-greek-high-school,source-wikidata-primary-school-geo-milev-q58071657|source-wikimedia-commons-geo-milev-school-plovdiv-1-jpg,needs_editorial_signoff
place-agricultural-university-plovdiv-q30257336,Аграрен университет,Agricultural University Plovdiv,civic,"Модерен период, 1945 г.",1945 г.,1945,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.134302,24.767314,,,,,,source-wikipedia-agricultural-university-plovdiv|source-wikidata-agricultural-university-plovdiv-coordinates|source-wikimedia-commons-agricultural-university-plovdiv-jpg,needs_editorial_signoff
place-alyosha-monument-q4063802,Паметник на Съветската армия в Пловдив,Alyosha Monument,monument,Модерен период,Модерен период,Modern period,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.143611111,24.7375,,,,,,source-wikipedia-alyosha-monument|source-wikidata-alyosha-monument-coordinates|source-wikimedia-commons-alyoshapoldivmonument-jpg,needs_editorial_signoff
place-bishop-s-basilica-of-philippopolis-q20500169,Епископска базилика на Филипопол,Bishop's Basilica of Philippopolis,roman,"Късна античност, 401 г.",401 г.,401,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.144118,24.752732,,,,,,source-wikipedia-bishop-s-basilica-of-philippopolis|source-wikidata-bishop-s-basilica-of-philippopolis-coordinates|source-wikimedia-commons-bazilika-golyama2-jpg,needs_editorial_signoff
place-botev-1912-football-complex-q30644373,"Футболен комплекс ""БОТЕВ 1912""",Botev 1912 Football Complex,civic,"Модерен период, 2013 г.",18.9.2013 г.,2013-09-18,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.1075,24.708,,,,,,source-wikipedia-botev-1912-football-complex|source-wikidata-botev-1912-football-complex-coordinates|source-wikimedia-commons-botev-plovdiv-stadium-jpg,needs_editorial_signoff
place-church-of-st-constantine-and-helena-q5117391,Свети Константин и Елена,Church of St Constantine and Helena,religious,"Възраждане, 1832 г.",1832 г.,1832,date,архитект: Петко Боз,architect: Петко Боз,named,42.149696,24.752876,,,,,,source-wikipedia-church-of-st-constantine-and-helena|source-wikidata-church-of-st-constantine-and-helena-coordinates|source-wikimedia-commons-sv-sv-konstantin-i-elena-plovdiv-jpg,needs_editorial_signoff
place-dzhendem-tepe-q5319673,Джендем тепе,Dzhendem tepe,hill,Географски хълм / исторически топос,Географски хълм / исторически топос,Geographic hill / historic topos,era,неприложимо за природен хълм/терен,not applicable for a natural hill or terrain feature,not_applicable,42.13694444,24.73166667,,,,,,source-wikipedia-dzhendem-tepe|source-wikidata-dzhendem-tepe-coordinates|source-wikimedia-commons-dzhendem-jpg,needs_editorial_signoff
place-eastern-gate-of-philippopolis-q20500154,Източна порта на Филипопол,Eastern gate of Philippopolis,roman,Античност,Античност,Antiquity,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.148811,24.755862,,,,,,source-wikipedia-eastern-gate-of-philippopolis|source-wikidata-eastern-gate-of-philippopolis-coordinates|source-wikimedia-commons-east-gate38-jpg,needs_editorial_signoff
place-eirene-residence-q26898191,Антична жилищна сграда Ейрене (Пловдив),Eirene Residence,roman,Античност,Античност,Antiquity,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.1452,24.7517,,,,,,source-wikipedia-eirene-residence|source-wikidata-eirene-residence-coordinates|source-wikimedia-commons-eirene-mosaics-3-jpg,needs_editorial_signoff
place-hristo-botev-stadium-q849662,Христо Ботев,Hristo Botev Stadium,civic,"Модерен период, 1961 г.",14.5.1961 г.,1961-05-14,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.139861,24.764444,,,,,,source-wikipedia-hristo-botev-stadium|source-wikidata-hristo-botev-stadium-coordinates|source-wikimedia-commons-hristo-botev-stadium-plovdiv-tb-jpg,needs_editorial_signoff
place-humanitarian-high-school-saints-cyril-and-methodius-plovdiv-q12290859,"Хуманитарна гимназия ""Св. Св. Кирил и Методий"" Пловдив","Humanitarian High School ""Saints Cyril and Methodius"" Plovdiv",civic,Модерен период,Модерен период,Modern period,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.152777777,24.747777777,,,,,,source-wikipedia-humanitarian-high-school-saints-cyril-and-methodius-plovdiv|source-wikidata-humanitarian-high-school-saints-cyril-and-methodius-plovdiv-coordinates|source-wikimedia-commons-basa-1735k-1-345-1-post-card-from-plovdiv-1900-jpg,needs_editorial_signoff
place-international-fair-plovdiv-q1667383,Международен панаир Пловдив,International Fair Plovdiv,civic,Модерен период,Модерен период,Modern period,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.15809088,24.75700378,,,,archive-photo-opening-1939-plovdiv-fair|archive-photo-international-fair-1892-1|archive-photo-international-fair-1892-10,then-now-opening-1939-plovdiv-fair|then-now-international-fair-1892-1|then-now-international-fair-1892-10,source-wikipedia-international-fair-plovdiv|source-wikidata-international-fair-plovdiv-coordinates|source-wikimedia-commons-internationa-fair-plovdiv-front-jpg,needs_editorial_signoff
place-ivan-vazov-national-library-q630839,Народна библиотека „Иван Вазов“,Ivan Vazov National Library,civic,"Модерен период, 1879 г.",1879 г.,1879,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.139444,24.746111,,,,archive-photo-ivan-vazov-library-earthquake-1928,then-now-ivan-vazov-library-earthquake-1928,source-wikipedia-ivan-vazov-national-library|source-wikidata-ivan-vazov-national-library-coordinates|source-wikimedia-commons-ivan-vazov-national-library-jpg,needs_editorial_signoff
place-kamenitza-q12282497,Каменица АД,Kamenitza,civic,"Модерен период, 1881 г.",1881 г.,1881,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.143193055,24.7618,,,,,,source-wikipedia-kamenitza|source-wikidata-kamenitza-coordinates|source-wikimedia-commons-kamenitza-beer-2-jpg,needs_editorial_signoff
place-library-of-philippopolis-q26260744,Антична библиотека,Library of Philippopolis,roman,Античност,Античност,Antiquity,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.143430555,24.750205555,,,,,,source-wikipedia-library-of-philippopolis|source-wikidata-library-of-philippopolis-coordinates|source-wikimedia-commons-plovdiv-library-2-jpg,needs_editorial_signoff
place-lokomotiv-stadium-q3623331,Локомотив,Lokomotiv Stadium,civic,"Модерен период, 1982 г.",6.9.1982 г.,1982-09-06,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.133889,24.771667,,,,,,source-wikipedia-lokomotiv-stadium|source-wikidata-lokomotiv-stadium-coordinates|source-wikimedia-commons-dsc01891a-jpg,needs_editorial_signoff
place-maritsa-hotel-q6765912,Марица,Maritsa Hotel,civic,"Модерен период, 1968 г.",1968 г.,1968,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.15611111,24.74861111,,,,,,source-wikipedia-maritsa-hotel|source-wikidata-maritsa-hotel-coordinates|source-wikimedia-commons-maritza-hotel-in-plovdiv-jpg,needs_editorial_signoff
place-markovo-tepe-q6771348,Марково тепе,Markovo tepe,hill,Географски хълм / исторически топос,Географски хълм / исторически топос,Geographic hill / historic topos,era,неприложимо за природен хълм/терен,not applicable for a natural hill or terrain feature,not_applicable,42.14138889,24.74083333,,,,,,source-wikipedia-markovo-tepe|source-wikidata-markovo-tepe-coordinates|source-wikimedia-commons-bulgaria-fortepan-8381-jpg,needs_editorial_signoff
place-northern-district-q7059194,Северен (район на Пловдив),Northern district,civic,Модерен период,Модерен период,Modern period,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.16416667,24.74472222,,,,,,source-wikipedia-northern-district|source-wikidata-northern-district-coordinates|source-wikimedia-commons-district-north-in-plovdiv-jpg,needs_editorial_signoff
place-novotel-plovdiv-q7065087,Новотел „Пловдив“,Novotel Plovdiv,civic,Модерен период,Модерен период,Modern period,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.15555556,24.74555556,,,,,,source-wikipedia-novotel-plovdiv|source-wikidata-novotel-plovdiv-coordinates|source-wikimedia-commons-novotel-plovdiv-1-jpg,needs_editorial_signoff
place-odeon-of-philippopolis-q26046109,Античен одеон (Пловдив),Odeon of Philippopolis,roman,Античност,Античност,Antiquity,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.143605555,24.750397222,,,,,,source-wikipedia-odeon-of-philippopolis|source-wikidata-odeon-of-philippopolis-coordinates|source-wikimedia-commons-bulgaria-bulgaria-0812-roman-odeon-7432938030-jpg,needs_editorial_signoff
place-philippopolis-q27047924,Филипопол,Philippopolis,roman,Античност,Античност,Antiquity,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.143739,24.749842,,,,,,source-wikipedia-philippopolis|source-wikidata-philippopolis-coordinates|source-wikimedia-commons-philippopolis-urban-plan-jpg,needs_editorial_signoff
place-plovdiv-central-railway-station-q7205164,Централна гара Пловдив,Plovdiv Central railway station,civic,Модерен период,Модерен период,Modern period,era,архитект: Мариано Пернигони,architect: Mariano Pernigoni,named,42.134363,24.741403,,,,archive-photo-plovdiv-station-around-1880|archive-postcard-bahnhof-von-plowdiw,then-now-plovdiv-station-around-1880|then-now-bahnhof-von-plowdiw,source-wikipedia-plovdiv-central-railway-station|source-wikidata-plovdiv-central-railway-station-coordinates|source-wikimedia-commons-plovdiv-central-railway-station-platform-side-2007-jpg,needs_editorial_signoff
place-plovdiv-medical-university-q3557727,Медицински университет (Пловдив),Plovdiv Medical University,civic,"Модерен период, 1945 г.",1945 г.,1945,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.137981,24.735179,,,,,,source-wikipedia-plovdiv-medical-university|source-wikidata-plovdiv-medical-university-coordinates|source-wikimedia-commons-plovdiv-medical-unoversity-jpg,needs_editorial_signoff
place-plovdiv-regional-ethnographic-museum-q876619,Регионален етнографски музей,Plovdiv Regional Ethnographic Museum,civic,"Модерен период, 1917 г.",1917 г.,1917,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.15,24.75305556,,,,,,source-wikipedia-plovdiv-regional-ethnographic-museum|source-wikidata-plovdiv-regional-ethnographic-museum-coordinates|source-wikimedia-commons-regional-ethnographic-museum-plovdiv-jpg,needs_editorial_signoff
place-plovdiv-regional-history-museum-q1501330,"Регионален исторически музей, Пловдив",Plovdiv Regional History Museum,civic,"Модерен период, 1951 г.",1951 г.,1951,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.149798,24.753361,,,,,,source-wikipedia-plovdiv-regional-history-museum|source-wikidata-plovdiv-regional-history-museum-coordinates|source-wikimedia-commons-plovdiv-regional-history-museum-jpg,needs_editorial_signoff
place-plovdiv-synagogue-q7205169,Пловдивска синагога,Plovdiv Synagogue,religious,"Модерен период, 1887 г.",1887 г.,1887,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.15055556,24.74083333,,,,,,source-wikipedia-plovdiv-synagogue|source-wikidata-plovdiv-synagogue-coordinates|source-wikimedia-commons-synagogue-in-plovdiv-d-jpg,needs_editorial_signoff
place-plovdiv-university-q7205171,Пловдивски университет,Plovdiv University,civic,"Модерен период, 1961 г.",15.9.1961 г.,1961-09-15,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.138055555,24.750833333,,,,,,source-wikipedia-plovdiv-university|source-wikidata-plovdiv-university-coordinates|source-wikimedia-commons-plovdiv-university-plovdiv-bulgaria-jpg,needs_editorial_signoff
place-small-basilica-q16744679,Малка базилика,Small Basilica,roman,"Античност, 401 г.",401 г.,401,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.146448,24.757944,,,,,,source-wikipedia-small-basilica|source-wikidata-small-basilica-coordinates|source-wikimedia-commons-small-basilica-jpg,needs_editorial_signoff
place-southern-district-q7570666,Южен (район на Пловдив),Southern district,civic,Модерен период,Модерен период,Modern period,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.12277778,24.74138889,,,,,,source-wikipedia-southern-district|source-wikidata-southern-district-coordinates|source-wikimedia-commons-olovnata-jpg,needs_editorial_signoff
place-synagogue-of-philippopolis-q20499146,Антична синагога,Synagogue of Philippopolis,roman,Античност,Античност,Antiquity,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.1453,24.7553,,,,,,source-wikipedia-synagogue-of-philippopolis|source-wikidata-synagogue-of-philippopolis-coordinates|source-wikimedia-commons-synagogue-png,needs_editorial_signoff
place-tashkyopryu-mosque-q26258392,Таш кюпрю джамия,Tashkyopryu Mosque,ottoman,"Османски период, 1860 г.",1860 г.,1860,date,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14969,24.741684,,,,,,source-wikipedia-tashkyopryu-mosque|source-wikidata-tashkyopryu-mosque-coordinates|source-wikimedia-commons-plovdiv-banya-jpg,needs_editorial_signoff
place-trakiya-district-q3557743,Тракия,Trakiya district,civic,Модерен период,Модерен период,Modern period,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.1336,24.7858,,,,,,source-wikipedia-trakiya-district|source-wikidata-trakiya-district-coordinates|source-wikimedia-commons-pametnik-kan-krum-panoramio-jpg,needs_editorial_signoff
place-central-district-q5062096,Централен,Central district,civic,Модерен период,Модерен период,Modern period,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14444444,24.74694444,,,,,,source-wikipedia-central-district|source-wikidata-central-district-coordinates|source-wikimedia-commons-plovdiv-main-street-imagesfrombulgaria-jpg,needs_editorial_signoff
place-eastern-district-q12281496,Източен,Eastern district,civic,Модерен период,Модерен период,Modern period,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.155,24.78833333,,,,,,source-wikipedia-eastern-district|source-wikidata-eastern-district-coordinates|source-wikimedia-commons-view-to-district-east-in-plovdiv-1-jpg,needs_editorial_signoff
place-western-district-q7988480,Западен (район на Пловдив),Western district,civic,Модерен период,Модерен период,Modern period,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.1319,24.7125,,,,,,source-wikipedia-western-district|source-wikidata-western-district-coordinates|source-wikimedia-commons-view-to-district-west-in-plovdiv-1-jpg,needs_editorial_signoff
place-ritora-house-plovdiv-q113564786,"Ritora house, Plovdiv","Ritora house, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14722,24.75194,,,,,,source-wikidata-ritora-house-plovdiv|source-wikimedia-commons-kashtanaritora-plovdiv03-jpg,needs_editorial_signoff
place-andrey-georgiadi-house-plovdiv-q117749141,"Andrey Georgiadi house, Plovdiv","Andrey Georgiadi house, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.1475,24.75,,,,,,source-wikidata-andrey-georgiadi-house-plovdiv|source-wikimedia-commons-andreygeorgiadi-house-plovdiv006-jpg,needs_editorial_signoff
place-house-of-staynov-in-plovdiv-q66309879,Стайнова къща,House of Staynov in Plovdiv,revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.147484,24.749664,,,,,,source-wikidata-house-of-staynov-in-plovdiv|source-wikimedia-commons-house-of-staynov-in-plovdiv-jpg,needs_editorial_signoff
place-klianti-house-q50073497,Къща Клианти,Klianti House,revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.147521,24.752346,,,,,,source-wikidata-klianti-house|source-wikimedia-commons-klianti-jpg,needs_editorial_signoff
place-house-of-hristo-g-danov-q29961385,Дановата къща,House of Hristo G. Danov,revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.1475,24.74944444,,,,,,source-wikidata-house-of-hristo-g-danov|source-wikimedia-commons-house-of-hristo-g-danov-jpg,needs_editorial_signoff
place-konstantin-stoilov-house-q113646190,Konstantin Stoilov house,Konstantin Stoilov house,revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14806,24.74944,,,,,,source-wikidata-konstantin-stoilov-house|source-wikimedia-commons-plovdiv-konstantin-stoilov-house-jpg,needs_editorial_signoff
place-dr-rashko-petrov-house-plovdiv-q117534330,"Dr Rashko Petrov House, Plovdiv","Dr Rashko Petrov House, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14806,24.74944,,,,,,source-wikidata-dr-rashko-petrov-house-plovdiv|source-wikimedia-commons-drrashopetrovhouse002-jpg,needs_editorial_signoff
place-birdas-house-plovdiv-q117750038,"Birdas house, Plovdiv","Birdas house, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14861,24.75167,,,,,,source-wikidata-birdas-house-plovdiv|source-wikimedia-commons-birdas-house-plovdiv005-jpg,needs_editorial_signoff
place-house-with-the-heads-plovdiv-q113646361,"House with the heads, Plovdiv","House with the heads, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.146611,24.748694,,,,,,source-wikidata-house-with-the-heads-plovdiv|source-wikimedia-commons-housewiththeheads-plovdiv03-jpg,needs_editorial_signoff
place-house-of-kostadin-kaftandzhiyata-q29961233,Къща на Костадин Кафтанджията,House of Kostadin Kaftandzhiyata,revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14861111,24.75222222,,,,,,source-wikidata-house-of-kostadin-kaftandzhiyata|source-wikimedia-commons-georgibojilovhouse2-jpg,needs_editorial_signoff
place-house-of-philibos-nishanyan-q29961255,Къща на Филибос Нишанян,House of Philibos Nishanyan,revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14889,24.75139,,,,,,source-wikidata-house-of-philibos-nishanyan|source-wikimedia-commons-filibosnishanyan-house-plovdiv006-jpg,needs_editorial_signoff
place-slaveykov-house-plovdiv-q117750380,"Slaveykov house, Plovdiv","Slaveykov house, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14667,24.75389,,,,,,source-wikidata-slaveykov-house-plovdiv|source-wikimedia-commons-slaveykov-house-plovdiv001-jpg,needs_editorial_signoff
place-veren-stambolyan-house-plovdiv-q105552912,Къща на Верен Стамболян,"Veren Stambolyan House, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14861111,24.75333333,,,,,,source-wikidata-veren-stambolyan-house-plovdiv|source-wikimedia-commons-plovdiv-2020-08-kashtanaverenstambolyan04-jpg,needs_editorial_signoff
place-nevena-atanasova-house-plovdiv-q117818220,"Nevena Atanasova house, Plovdiv","Nevena Atanasova house, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14917,24.7525,,,,,,source-wikidata-nevena-atanasova-house-plovdiv|source-wikimedia-commons-nevenaatanasovahouse-plovdiv002-jpg,needs_editorial_signoff
place-ivan-furnadzhiev-house-plovdiv-q118500439,"Ivan Furnadzhiev house, Plovdiv","Ivan Furnadzhiev house, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14944,24.75111,,,,,,source-wikidata-ivan-furnadzhiev-house-plovdiv|source-wikimedia-commons-ivanfurnadzhievhouse-plovdiv012-jpg,needs_editorial_signoff
place-nediyalko-nemski-house-plovdiv-q118499676,"Nediyalko Nemski house, Plovdiv","Nediyalko Nemski house, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14833,24.75389,,,,,,source-wikidata-nediyalko-nemski-house-plovdiv|source-wikimedia-commons-nediyalko-nemski-house-plovdiv002-jpg,needs_editorial_signoff
place-georgi-danchov-zografina-house-plovdiv-q105581474,"Georgi Danchov-Zografina House, Plovdiv","Georgi Danchov-Zografina House, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14888889,24.75333333,,,,,,source-wikidata-georgi-danchov-zografina-house-plovdiv|source-wikimedia-commons-plovdiv-2020-08-georgidanchovzografinahouse05-jpg,needs_editorial_signoff
place-hadzhi-vlasaki-chohadzhiyata-house-plovdiv-q105564415,"Hadzhi Vlasaki Chohadzhiyata House, Plovdiv","Hadzhi Vlasaki Chohadzhiyata House, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14972222,24.75138889,,,,,,source-wikidata-hadzhi-vlasaki-chohadzhiyata-house-plovdiv|source-wikimedia-commons-plovdiv-2020-08-hadzivlasakicohadzijatahouse01-jpg,needs_editorial_signoff
place-georgi-hadzhi-nikolaidi-house-plovdiv-q117573321,"Georgi hadzhi Nikolaidi House, Plovdiv","Georgi hadzhi Nikolaidi House, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14972,24.75194,,,,,,source-wikidata-georgi-hadzhi-nikolaidi-house-plovdiv|source-wikimedia-commons-georgi-hadzhi-nikolaidi-house-plovdiv006-jpg,needs_editorial_signoff
place-ovanes-stepanyan-house-plovdiv-q117727579,"Ovanes Stepanyan house, Plovdiv","Ovanes Stepanyan house, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.15,24.75167,,,,,,source-wikidata-ovanes-stepanyan-house-plovdiv|source-wikimedia-commons-ovanesstepanyanhouse-plovdiv010-jpg,needs_editorial_signoff
place-georgi-pavliti-house-plovdiv-q105415800,"Georgi Pavliti House, Plovdiv","Georgi Pavliti House, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.14916667,24.75416667,,,,,,source-wikidata-georgi-pavliti-house-plovdiv|source-wikimedia-commons-plovdiv-2020-08-pavlitihouse08-jpg,needs_editorial_signoff
place-house-of-kirkor-meserbovich-q29961194,Къща на Киркор Месробович,House of Kirkor Meserbovich,revival,Възраждане,1846 г.,1846,year,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.15027778,24.75083333,,,,,,source-wikidata-house-of-kirkor-meserbovich|source-wikimedia-commons-tsanko-lavrenov-museum-exposition-jpg,needs_editorial_signoff
place-artin-gidikov-house-plovdiv-q104156256,Къща на Артин Гидиков,"Artin Gidikov House, Plovdiv",revival,Възраждане,1848 г.,1848,year,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.15055555,24.75083333,,,,,,source-wikidata-artin-gidikov-house-plovdiv|source-wikimedia-commons-plovdiv-2020-09-kashtanaartingidikov01-jpg,needs_editorial_signoff
place-bakalova-house-plovdiv-q117750307,"Bakalova house, Plovdiv","Bakalova house, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.15056,24.7525,,,,,,source-wikidata-bakalova-house-plovdiv|source-wikimedia-commons-bakalova-house-plovdiv011-jpg,needs_editorial_signoff
place-atanas-krastev-house-q118497751,Atanas Krastev House,Atanas Krastev House,revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.15056,24.75278,,,,,,source-wikidata-atanas-krastev-house|source-wikimedia-commons-atanaskrastevhouse-plovdiv002-jpg,needs_editorial_signoff
place-kasandra-bayatova-house-plovdiv-q105622469,"Kasandra Bayatova House, Plovdiv","Kasandra Bayatova House, Plovdiv",revival,Възраждане,Възраждане,Bulgarian Revival,era,не е идентифициран в текущия публичен източник,not identified in the current public source,not_identified,42.150889,24.752861,,,,,,source-wikidata-kasandra-bayatova-house-plovdiv|source-wikimedia-commons-plovdiv-2021-02-kasandrabajatovahouse08-jpg,needs_editorial_signoff
